Country,Date_confirmation,New_infected,Total_infected
World,2022-06-30,261,5397
Argentina,2022-06-30,1,6
Australia,2022-06-30,1,12
Austria,2022-06-30,0,20
Belgium,2022-06-30,0,117
Benin,2022-06-30,0,3
Brazil,2022-06-30,0,21
Bulgaria,2022-06-30,0,3
Canada,2022-06-30,0,287
Chile,2022-06-30,0,6
Colombia,2022-06-30,0,3
Croatia,2022-06-30,0,1
Czech Republic,2022-06-30,0,6
Denmark,2022-06-30,0,18
Estonia,2022-06-30,0,1
Finland,2022-06-30,0,4
France,2022-06-30,58,498
Georgia,2022-06-30,0,1
Germany,2022-06-30,106,969
Ghana,2022-06-30,0,18
Gibraltar,2022-06-30,0,1
Greece,2022-06-30,0,3
Hungary,2022-06-30,7,19
Iceland,2022-06-30,0,3
Ireland,2022-06-30,11,39
Israel,2022-06-30,4,42
Italy,2022-06-30,0,159
Latvia,2022-06-30,0,2
Lebanon,2022-06-30,0,1
Luxembourg,2022-06-30,0,3
Malta,2022-06-30,0,4
Mexico,2022-06-30,0,11
Morocco,2022-06-30,0,1
Netherlands,2022-06-30,0,257
Norway,2022-06-30,0,17
Peru,2022-06-30,0,3
Poland,2022-06-30,0,12
Portugal,2022-06-30,11,402
Puerto Rico,2022-06-30,0,1
Romania,2022-06-30,0,11
Serbia,2022-06-30,0,1
Singapore,2022-06-30,0,1
Slovenia,2022-06-30,0,9
South Africa,2022-06-30,0,2
South Korea,2022-06-30,0,1
Spain,2022-06-30,0,800
Sweden,2022-06-30,15,28
Switzerland,2022-06-30,2,83
Taiwan,2022-06-30,0,1
Turkey,2022-06-30,1,1
United Arab Emirates,2022-06-30,0,13
United Kingdom,2022-06-30,0,1076
United States,2022-06-30,44,395
Venezuela,2022-06-30,0,1
