date,infectedNew,infectedTotal
2022-05-06,1,1
2022-05-07,0,1
2022-05-08,0,1
2022-05-09,0,1
2022-05-10,0,1
2022-05-11,0,1
2022-05-12,1,2
2022-05-13,1,3
2022-05-14,0,3
2022-05-15,4,7
2022-05-16,0,7
2022-05-17,3,10
2022-05-18,21,31
2022-05-19,16,47
2022-05-20,46,93
2022-05-21,16,109
2022-05-22,0,109
2022-05-23,73,182
2022-05-24,37,219
2022-05-25,44,263
2022-05-26,88,351
2022-05-27,52,403
2022-05-28,16,419
2022-05-29,14,433
2022-05-30,123,556
2022-05-31,45,601
