Country,Date_confirmation,New_infected,Total_infected
Colombia,2022-06-23,3,3
Colombia,2022-06-24,0,3
Colombia,2022-06-25,0,3
Colombia,2022-06-26,0,3
Colombia,2022-06-27,0,3
Colombia,2022-06-28,0,3
Colombia,2022-06-29,0,3
Colombia,2022-06-30,0,3
Colombia,2022-07-01,0,3
Colombia,2022-07-02,0,3
